symbol,company_name,isin,exchange,market_cap_cr,category
RVNL,Rail Vikas Nigam Limited,INE415G01027,NSE,70912.53,Mid Cap
PRESTIGE,Prestige Estates Projects Limited,INE811K01011,NSE,70855.47,Mid Cap
LLOYDSME,Lloyds Metals and Energy Limited,INE281B01032,NSE,70809.09,Mid Cap
UNOMINDA,UNO Minda Limited,INE405E01023,NSE,70444.82,Mid Cap
FORTIS,Fortis Healthcare Ltd,INE061F01013,NSE,69999.55,Mid Cap
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,NSE,68621.26,Mid Cap
OIL,Oil India Limited,INE274J01014,NSE,68181.91,Mid Cap
ATGL,ADANI TOTAL GAS LIMITED,INE399L01023,NSE,67975.07,Mid Cap
COROMANDEL,Coromandel International Limited,INE169A01031,NSE,67903.85,Mid Cap
GICRE,General Insurance Corporation of India,INE481Y01014,NSE,66432.27,Mid Cap
YESBANK,Yes Bank Ltd.,INE528G01035,NSE,66356.43,Mid Cap
VMM,Vishal Mega Mart Limited,INE01EA01019,NSE,66102.4,Mid Cap
ABBOTINDIA,Abbott India Ltd.,INE358A01014,NSE,65871.14,Mid Cap
TORNTPOWER,TORRENT POWER LIMITED,INE813H01021,NSE,65816.6,Mid Cap
AUROPHARMA,Aurobindo Pharma Ltd.,INE406A01037,NSE,65680.54,Mid Cap
NMDC,NMDC Ltd,INE584A01023,NSE,65185.99,Mid Cap
ALKEM,Alkem Laboratories Limited,INE540L01014,NSE,64341.89,Mid Cap
BERGEPAINT,Berger Paints India Ltd,INE463A01038,NSE,64189.42,Mid Cap
MRF,M.R.F. Ltd.,INE883A01011,NSE,64073.59,Mid Cap
PATANJALI,Patanjali Foods Limited,INE619A01035,NSE,63713.13,Mid Cap
GODREJPROP,Godrej Properties Limited,INE484J01027,NSE,63668.41,Mid Cap
HDBFS,HDB FINANCIAL SERVICES LIMITED,INE756I01012,NSE,63479.55,Mid Cap
LTF,L&T Finance Limited,INE498L01015,NSE,63066.29,Mid Cap
JSWINFRA,JSW Infrastructure Limited,INE880J01026,NSE,62720.84,Mid Cap
SCHAEFFLER,Schaeffler India Limited,INE513A01022,NSE,62601.14,Mid Cap
INDUSINDBK,IndusInd Bank Ltd.,INE095A01012,NSE,62528.43,Mid Cap
JSL,Jindal Stainless Limited,INE220G01021,NSE,61858.44,Mid Cap
AUBANK,AU Small Finance Bank Limited,INE949L01017,NSE,61399.42,Mid Cap
COLPAL,Colgate-Palmolive (India) Ltd.,INE259A01022,NSE,61273.84,Mid Cap
OBEROIRLTY,OBEROI REALTY LIMITED,INE093I01010,NSE,61136.53,Mid Cap
BHARATFORG,Bharat Forge Ltd,INE465A01025,NSE,61065.99,Mid Cap
FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,NSE,59605.98,Mid Cap
COFORGE,COFORGE LIMITED,INE591G01025,NSE,59313.49,Mid Cap
UPL,UPL Limited,INE628A01036,NSE,58702.51,Mid Cap
PHOENIXLTD,The Phoenix Mills Ltd.,INE211B01039,NSE,57968.52,Mid Cap
BANKINDIA,Bank of India,INE084A01016,NSE,57806.99,Mid Cap
TIINDIA,Tube Investments of India Ltd,INE974X01010,NSE,57616.6,Mid Cap
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,INE335Y01020,NSE,57369.79,Mid Cap
BDL,Bharat Dynamics Limited,INE171Z01026,NSE,57204.64,Mid Cap
IDFCFIRSTB,IDFC FIRST BANK LIMITED,INE092T01019,NSE,57134.94,Mid Cap
PIIND,PI Industries Limited,INE603J01030,NSE,55995.13,Mid Cap
MOTILALOFS,Motilal Oswal Financial Services Limited,INE338I01027,NSE,55862.66,Mid Cap
GLENMARK,Glenmark Pharmaceuticals ltd,INE935A01035,NSE,55715.98,Mid Cap
MFSL,Max Financial Services Limited,INE180A01020,NSE,55404.88,Mid Cap
SAIL,Steel Authority of India Ltd.,INE114A01011,NSE,54440.06,Mid Cap
FEDERALBNK,Federal Bank Ltd.,INE171A01029,NSE,54284.24,Mid Cap
NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,INE298J01013,NSE,53973.88,Mid Cap
MPHASIS,Mphasis Limited,INE356A01018,NSE,53510.56,Mid Cap
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,NSE,53385.09,Mid Cap
LINDEINDIA,Linde India Limited,INE473A01011,NSE,53248.12,Mid Cap
SUNDARMFIN,SUNDARAM FINANCE LTD,INE660A01013,NSE,52669.24,Mid Cap
SUPREMEIND,Supreme Industries Ltd.,INE195A01028,NSE,51145.25,Mid Cap
BIOCON,Biocon Ltd.,INE376G01013,NSE,50160.2,Mid Cap
TATACOMM,Tata Communications Limited,INE151A01013,NSE,49912.12,Mid Cap
LAURUSLABS,Laurus Labs Limited,INE947Q01028,NSE,49364.8,Mid Cap
AIIL,Authum Investment & Infrastructure Limited,INE206F01022,NSE,49314.44,Mid Cap
GODFRYPHLP,Godfrey Phillips India Ltd.,INE260B01028,NSE,49053.35,Mid Cap
JKCEMENT,J.K. CEMENT LTD,INE823G01014,NSE,48686.08,Mid Cap
UBL,United Breweries Ltd.,INE686F01025,NSE,48008.69,Mid Cap
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,NSE,47511.16,Mid Cap
PAGEIND,Page Industries Ltd.,INE761H01022,NSE,47337.47,Mid Cap
GLAXO,GlaxoSmithkline Pharmaceuticals Ltd.,INE159A01016,NSE,46777.82,Mid Cap
BALKRISIND,Balkrishna Industries Ltd.,INE787D01026,NSE,46623.15,Mid Cap
ITCHOTELS,ITC Hotels Limited,INE379A01028,NSE,46317.94,Mid Cap
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,NSE,46226.2,Mid Cap
PREMIERENE,Premier Energies Limited,INE0BS701011,NSE,45733.88,Mid Cap
HEXT,Hexaware Technologies Limited,INE093A01041,NSE,45643.06,Mid Cap
LTTS,L&T Technology Services Limited,INE010V01017,NSE,45464.99,Mid Cap
VOLTAS,Voltas Ltd.,INE226A01021,NSE,45327.09,Mid Cap
HUDCO,Housing &Urban Development Corporation Ltd.,INE031A01017,NSE,44792.77,Mid Cap
360ONE,360 ONE WAM LIMITED,INE466L01038,NSE,44656.69,Mid Cap
